,Sep,Force
0,0.0,-1.18e-10
1,-4.93e-11,-1.18e-10
2,-1.34e-10,-1.16e-10
3,-1.45e-10,-1.15e-10
4,-2.05e-10,-1.14e-10
5,-3.4e-10,-1.12e-10
6,-4.24e-10,-1.11e-10
7,-4.52e-10,-1.1e-10
8,-4.67e-10,-1.08e-10
9,-4.34e-10,-1.07e-10
10,-3.68e-10,-1.06e-10
11,-4.93e-10,-1.05e-10
12,-5.41e-10,-1.04e-10
13,-5.54e-10,-1.02e-10
14,-5.76e-10,-1.01e-10
15,-5.83e-10,-1e-10
16,-6.29e-10,-9.88e-11
17,-4.87e-10,-9.81e-11
18,-4.36e-10,-9.7e-11
19,-5.32e-10,-9.54e-11
20,-6.23e-10,-9.38e-11
21,-6.23e-10,-9.25e-11
22,-6.32e-10,-9.13e-11
23,-6.61e-10,-9e-11
24,-6.95e-10,-8.88e-11
25,-8.39e-10,-8.71e-11
26,-9.13e-10,-8.57e-11
27,-8.71e-10,-8.47e-11
28,-8.86e-10,-8.35e-11
29,-8.96e-10,-8.23e-11
30,-7.84e-10,-8.15e-11
31,-6.92e-10,-8.06e-11
32,-7.24e-10,-7.92e-11
33,-7.6e-10,-7.79e-11
34,-8.01e-10,-7.65e-11
35,-8.55e-10,-7.51e-11
36,-8.9e-10,-7.38e-11
37,-9.3e-10,-7.25e-11
38,-8.65e-10,-7.16e-11
39,-8.78e-10,-7.04e-11
40,-7.55e-10,-6.96e-11
41,-5.87e-10,-6.89e-11
42,-5.93e-10,-6.76e-11
43,-5.79e-10,-6.64e-11
44,-6.01e-10,-6.51e-11
45,-5.4e-10,-6.42e-11
46,-5.86e-10,-6.29e-11
47,-6.97e-10,-6.13e-11
48,-6.09e-10,-6.04e-11
49,-4.18e-10,-5.98e-11
50,-4.45e-10,-5.86e-11
51,-5.4e-10,-5.7e-11
52,-5.07e-10,-5.59e-11
53,-4.96e-10,-5.47e-11
54,-4.39e-10,-5.36e-11
55,-3.75e-10,-5.26e-11
56,-3.17e-10,-5.15e-11
57,-4.42e-10,-4.99e-11
58,-5.3e-10,-4.84e-11
59,-4.62e-10,-4.74e-11
60,-4.55e-10,-4.61e-11
61,-5.05e-10,-4.46e-11
62,-5.4e-10,-4.32e-11
63,-6.21e-10,-4.17e-11
64,-6.54e-10,-4.04e-11
65,-6.29e-10,-3.93e-11
66,-5.56e-10,-3.83e-11
67,-3.87e-10,-3.76e-11
68,-3.32e-10,-3.65e-11
69,-2.99e-10,-3.54e-11
70,-2.25e-10,-3.44e-11
71,-2.5e-10,-3.3e-11
