,Sep,Force
0,0.0,-1.18e-10
1,-4.24e-11,-1.17e-10
2,-1.77e-10,-1.16e-10
3,-2.32e-10,-1.15e-10
4,-1.84e-10,-1.14e-10
5,-2.27e-10,-1.12e-10
6,-2.58e-10,-1.11e-10
7,-2.89e-10,-1.1e-10
8,-3.06e-10,-1.08e-10
9,-2.86e-10,-1.07e-10
10,-2.72e-10,-1.06e-10
11,-1.47e-10,-1.05e-10
12,-1.42e-10,-1.04e-10
13,-2.38e-10,-1.03e-10
14,-2.25e-10,-1.02e-10
15,-1.99e-10,-1.01e-10
16,-3.74e-10,-9.9e-11
17,-4.53e-10,-9.75e-11
18,-3.4e-10,-9.67e-11
19,-4.46e-10,-9.52e-11
20,-3.15e-10,-9.44e-11
21,-8.99e-11,-9.4e-11
22,-1.21e-11,-9.29e-11
23,5.1e-11,-9.19e-11
24,-3.81e-11,-9.03e-11
25,-1.47e-10,-8.88e-11
26,-1.26e-10,-8.77e-11
27,-6.75e-11,-8.68e-11
28,-2.12e-10,-8.52e-11
29,-3.2e-10,-8.36e-11
30,-2.74e-10,-8.26e-11
31,-1.8e-10,-8.18e-11
32,-1.06e-10,-8.08e-11
33,-6.03e-11,-7.98e-11
34,-1.62e-10,-7.81e-11
35,-3.22e-10,-7.63e-11
36,-3.04e-10,-7.52e-11
37,-3.24e-10,-7.39e-11
38,-2.58e-10,-7.3e-11
39,-2.2e-10,-7.19e-11
40,-4.16e-10,-7.01e-11
41,-5.19e-10,-6.86e-11
42,-4.18e-10,-6.78e-11
43,-3.13e-10,-6.69e-11
44,-2.46e-10,-6.59e-11
45,-1.73e-10,-6.48e-11
46,-7.15e-11,-6.39e-11
47,-1.68e-10,-6.24e-11
48,-3.44e-10,-6.06e-11
49,-3.81e-10,-5.93e-11
50,-4.41e-10,-5.79e-11
51,-3.98e-10,-5.68e-11
52,-2.15e-10,-5.62e-11
53,-5.97e-11,-5.55e-11
54,1.22e-11,-5.46e-11
55,-6.79e-11,-5.31e-11
56,-1.51e-10,-5.16e-11
57,-2.76e-11,-5.08e-11
58,-1.64e-11,-4.95e-11
59,-1.75e-10,-4.78e-11
60,-5.36e-11,-4.7e-11
61,-4.3e-11,-4.59e-11
62,-2.93e-10,-4.38e-11
63,-3.92e-10,-4.23e-11
64,-3.03e-10,-4.13e-11
65,-9.57e-11,-4.07e-11
66,-4.78e-11,-3.97e-11
67,-1.09e-10,-3.83e-11
68,-8.36e-11,-3.71e-11
69,-4.39e-11,-3.6e-11
70,-9.18e-11,-3.46e-11
71,-2.08e-11,-3.36e-11
72,1.78e-10,-3.3e-11
73,5.13e-11,-3.13e-11
74,-3.89e-11,-2.98e-11
75,1.33e-11,-2.87e-11
76,1.32e-10,-2.79e-11
77,4.18e-10,-2.77e-11
78,4.93e-10,-2.67e-11
79,4.4e-10,-2.53e-11
80,2.37e-10,-2.34e-11
81,1.79e-10,-2.19e-11
82,4.53e-10,-2.17e-11
83,4.65e-10,-2.05e-11
84,4.86e-10,-1.93e-11
85,5.75e-10,-1.83e-11
86,5.15e-10,-1.68e-11
87,5.77e-10,-1.58e-11
88,8.38e-10,-1.54e-11
89,9.14e-10,-1.45e-11
90,8.5e-10,-1.31e-11
91,1.03e-09,-1.26e-11
92,1.55e-09,-1.31e-11
93,1.82e-09,-1.28e-11
94,1.84e-09,-1.16e-11
95,1.96e-09,-1.09e-11
96,2.33e-09,-1.09e-11
97,2.15e-09,-9.11e-12
98,2.49e-09,-9e-12
99,3.4e-09,-1.08e-11
100,3.72e-09,-1.07e-11
101,4.14e-09,-1.1e-11
102,4.34e-09,-1.05e-11
103,4.16e-09,-8.56e-12
104,4.4e-09,-8.01e-12
105,4.37e-09,-6.52e-12
106,4.14e-09,-4.38e-12
107,4.4e-09,-4.01e-12
108,4.87e-09,-4.38e-12
109,5.43e-09,-5.06e-12
110,5.94e-09,-5.6e-12
111,6.46e-09,-6.14e-12
112,6.39e-09,-4.63e-12
113,6.64e-09,-4.18e-12
114,6.97e-09,-3.97e-12
115,6.58e-09,-1.36e-12
116,6.19e-09,1.22e-12
117,6.44e-09,1.62e-12
118,7.16e-09,4.51e-13
119,7.69e-09,-5.95e-14
120,7.79e-09,9.22e-13
121,8.03e-09,1.45e-12
122,8.48e-09,1.21e-12
123,9.07e-09,4.73e-13
124,8.68e-09,3.03e-12
125,8.44e-09,5.02e-12
126,9.46e-09,2.71e-12
127,9.94e-09,2.24e-12
128,9.6e-09,4.6e-12
129,1.02e-08,3.82e-12
130,1.12e-08,1.78e-12
131,1.18e-08,1.13e-12
132,1.16e-08,2.97e-12
133,1.13e-08,5.13e-12
134,1.15e-08,5.84e-12
135,1.23e-08,4.28e-12
136,1.27e-08,4.12e-12
137,1.21e-08,7.47e-12
138,1.22e-08,8.54e-12
139,1.3e-08,6.97e-12
140,1.42e-08,4.31e-12
141,1.45e-08,4.7e-12
142,1.42e-08,6.82e-12
143,1.45e-08,6.92e-12
144,1.53e-08,5.45e-12
145,1.54e-08,6.6e-12
146,1.5e-08,9.08e-12
147,1.54e-08,8.77e-12
148,1.63e-08,7.12e-12
149,1.72e-08,5.33e-12
150,1.77e-08,4.76e-12
151,1.84e-08,3.88e-12
152,1.85e-08,4.89e-12
153,1.85e-08,6.09e-12
154,1.94e-08,4.59e-12
155,2e-08,3.63e-12
156,2.03e-08,3.93e-12
157,1.99e-08,6.65e-12
158,1.97e-08,8.32e-12
159,2.01e-08,8.33e-12
160,2.06e-08,7.89e-12
161,2.14e-08,6.08e-12
162,2.22e-08,4.98e-12
163,2.27e-08,4.58e-12
